,POSTED_BY,UNDER_CONSTRUCTION,RERA,BHK_NO.,BHK_OR_RK,SQUARE_FT,READY_TO_MOVE,RESALE,LONGITUDE,LATITUDE,TARGET(PRICE_IN_LACS)
0,0,0,0,2,0,1300.236407,1,1,12.96991,77.59796,55.0
1,0.5,0,0,2,0,1275.0,1,1,12.274538,76.644605,51.0
2,0,0,0,2,0,933.1597222,1,1,12.778033,77.632191,43.0
3,0,0,1,2,0,929.9211427,1,1,28.6423,77.3445,62.5
4,0.5,1,0,2,0,999.009247,0,1,22.5922,88.484911,60.5
5,0,0,0,3,0,1250.0,1,1,10.03328,76.28257099999999,42.0
6,0.5,0,0,3,0,1495.053957,1,1,26.916347,75.7956,66.5
7,0,0,1,3,0,1181.012946,1,1,30.74,76.65,52.0
8,0.5,0,1,2,0,1040.0,1,1,13.054202,77.674002,41.6
9,0,0,1,2,0,879.1208791000001,1,1,12.95161,80.14097,36.0
10,0,0,0,3,0,1350.308642,1,1,26.724219,88.326357,35.0
11,0.5,0,0,2,0,1333.010179,1,1,13.04034,77.591347,110.0
12,0,0,0,2,0,927.1779023,1,1,12.96991,77.59796,48.0
13,0,0,1,2,0,1122.1719460000002,1,1,28.587711,77.403123,62.0
14,0,0,0,1,0,649.9837504,1,1,13.0352,77.5772,20.0
15,0.5,1,1,3,0,1394.117647,0,1,28.429614,77.481711,71.1
16,0,0,0,3,0,1800.08471,1,1,20.275267000000003,85.86240699999999,85.0
17,0.5,1,1,3,0,2124.896706,0,1,12.8855,77.5638,180.0
18,0,0,0,2,0,1100.0,1,1,21.15389,79.08306,22.0
19,0.5,0,1,3,0,2178.649237,1,1,13.092356,77.61346800000001,120.0
20,0,0,0,2,0,881.1435285,1,1,13.05,80.11,45.0
21,0.5,0,0,2,0,944.8818898,1,1,18.452663,73.93104,42.0
22,0.5,0,1,3,0,1310.147689,1,1,28.5041,77.381557,55.0
23,0.5,0,0,1,0,630.00063,1,1,19.05444,72.84056,300.0
24,0.5,0,0,2,0,1219.80971,1,1,21.105779,79.078497,50.0
25,0,0,0,2,0,780.141844,1,1,22.54111,88.33778000000001,27.5
26,0,0,0,3,0,1600.0,1,1,28.63601,77.433724,46.0
27,0.5,0,0,2,0,1180.412371,1,1,30.712867,76.648557,22.9
28,0,1,0,2,0,1000.0,0,1,24.48,86.7,39.0
29,0.5,0,0,2,0,1000.0,1,1,28.2102,76.8606,12.5
30,0.5,0,0,3,0,1400.107701,1,1,28.40473,77.367514,52.0
31,0.5,0,1,2,0,943.1266076,1,1,28.5041,77.381557,33.0
32,0,0,0,2,0,1150.146382,1,1,26.586306,74.873234,55.0
33,0.5,1,1,1,0,864.0674393999999,0,1,19.18,72.96333,82.0
34,0.5,0,1,2,0,857.7861968000001,1,0,19.1759,72.9522,240.0
35,0,0,0,3,0,1174.210077,1,1,12.852171,80.216826,55.0
36,0.5,1,1,2,0,1020.087884,0,1,18.5993,73.7625,65.0
37,0,0,0,4,0,1650.165017,1,1,22.312063,72.674296,65.0
38,0.5,1,0,2,0,1000.0,0,1,17.815234,83.35818,35.0
39,0,0,0,3,0,1300.052002,1,1,12.894088,77.548914,75.0
40,0.5,1,1,1,0,40606.19568,0,0,24.69028,78.41889,9110.0
41,0.5,0,1,2,0,1058.114928,1,1,18.539812,73.737678,65.0
42,0.5,1,0,1,0,400.0,0,1,18.5438,73.9438,30.0
43,0.5,0,1,3,0,1274.924779,1,1,22.803593,83.755013,250.0
44,0.5,0,0,2,0,1026.694045,1,1,19.014858,72.8662,220.0
45,0,0,0,2,0,1150.121065,1,1,20.366670000000003,72.9,38.0
46,0,0,0,3,0,1200.0,1,1,28.460928000000003,77.03939100000001,60.0
47,0.5,0,0,1,1,475.0103263,1,1,24.69028,78.41889,46.0
48,1,1,1,1,0,301.91711630000003,0,0,24.69028,78.41889,26.3
49,0.5,1,1,2,0,1228.571429,0,1,12.843852,74.845271,51.6
50,0,0,0,2,0,986.0164934,1,1,13.077175,80.151453,55.0
51,0.5,1,1,3,0,1972.565158,0,1,28.431862,77.351104,71.9
52,0.5,1,1,1,0,420.6166888,0,1,19.048403,72.88731,130.0
53,0,0,0,3,0,1275.009808,1,1,25.232239,71.392013,32.5
54,0.5,1,1,1,0,406.024219,0,0,19.245347,73.124577,39.9
55,0.5,0,0,3,0,1862.562189,1,1,28.431862,77.351104,59.9
56,0,0,0,2,0,950.0146156,1,1,19.88879,75.34344,65.0
57,0,0,1,4,0,5200.945626,1,1,28.567633,77.383124,110.0
58,0.5,0,0,2,0,1049.969344,1,1,12.985039,77.54383,68.5
